NÚMERO DO CONTRATO,OBJETO DO CONTRATO,CONTRATADA,CNPJ DA CONTRATADA,VALOR TOTAL,VALOR EXECUTADO,DATA DE INÍCIO,DATA DE TÉRMINO,SITUAÇÃO DO CONTRATO,UNIDADE BENEFICIADA,CATEGORIA DO OBJETO
40,"Contratacao De Empresa Especializada Para Prestacao De Servicos De Manutencao Preventiva E Corretiva, De Grupo Gerador, Instalado Na Reitoria Da Universidade De Pernambuco",Elenet Servicos Tecnicos Ltda,09502112000115,7777.18,26348.73,2022-06-01,2026-06-01,Em Execucao,Reitoria,Servico De Prestacao Continuada
62,"Prestacao De Servicos De Publicacao De Editais, Avisos, Extratos De Contratos E Convenios E Demais Atos Administrativos, No Diario Oficial Do Estado De Pernambuco (Doe), Para Atender Necessidades Da Reitoria Da Upe",Companhia Editora De Pernambuco Cepe,10921252000107,491999.65,1161696.06,2022-12-12,2026-12-12,Em Execucao,Reitoria,Servico De Prestacao Continuada
07,"Prestacao De Servicos De Copeiragem, Conforme As Especificacoes Contidas No Termo De Referencia, Na Proposta Da Contratada E Nas Demais Clausulas Do Contrato.",Sercoserv Servicos Terceirizados Ltda,08717223000186,36319.44,90462.7,2023-06-20,2026-06-20,Em Execucao,Reitoria,Servico De Prestacao Continuada Com Dedicacao Exclusiva De Mao De Obra
04,"Prestacao De Servicos De Manutencao Preventiva E Corretiva, Com Reposicao De Pecas, No Elevador Instalado No Instituto Confucio Da Universidade De Pernambuco.",Tk Elevadores Brasil Ltda,90347840000894,15600.0,37700.0,2023-06-21,2026-06-20,Em Execucao,Ic - Instituto Confucio,Servico De Prestacao Continuada
10,"Prestacao De Servico De Mao De Obra – Do Tipo Recepcionista, Nivel Medio Com Conhecimento Basico Em Informatica, Posto De 44 Horas Semanais, Turno Diurno, Segunda A Sextafeira, Para Atender A Reitoria Da Upe",Rm Terceirizacao E Gestao De Recursos Humanos Eireli,05465222000101,42407.04,99918.63,2023-07-26,2026-07-26,Em Execucao,Reitoria,Servico De Prestacao Continuada Com Dedicacao Exclusiva De Mao De Obra
18,Prestacao De Servicos De Copeiragem Par Atender A Reitoria Da Upe.,Jmf Construcoes E Servicos Terceirizados Eireli Epp,10624354000160,39293.64,85955.96,2023-09-05,2026-09-05,Em Execucao,Reitoria,Servico De Prestacao Continuada Com Dedicacao Exclusiva De Mao De Obra
21,"Prestacao De Servicos Vigilancia Armada Posto De 24 Horas Diarias, De Segunda A Domingo, Visando Atender As Necessidades, Sendo 1 (Um) Posto Para Instituto De Inovacao Tecnologica Da Upe E 1 (Um) Posto Para O Instituto Confucio",Aguia Servicos De Vigilancia Ltda,11516861000143,532877.04,896040.95,2023-11-01,2026-11-01,Em Execucao,Combo 8 - Ic - Iit,Servico De Prestacao Continuada Com Dedicacao Exclusiva De Mao De Obra
21,"Prestacao De Servicos Vigilancia Armada Posto De 24 Horas Diarias, De Segunda A Domingo, Visando Atender As Necessidades, Sendo 1 (Um) Posto Para Instituto Inovacao Tecnologica Da Upe E 1 (Um) Posto Para O Instituto Confucio",Aguia Servicos De Vigilancia Ltda,11516861000143,532877.04,896040.95,2023-11-01,2026-11-01,Em Execucao,Combo 8 - Ic - Iit,Servico De Prestacao Continuada Com Dedicacao Exclusiva De Mao De Obra
24,"Contratacao Direta Da Prestacao De Servicos De Locacao De 2 (Dois) Nobreaks, Na Potencia De 15Kva Para Atender A Necessidades Do Datacenter Da Diretoria De Tecnologia Da Informacao E Comunicacao Da Reitoriaupe",Mapros Ltda,08980641000161,42788.16,85492.35,2023-12-14,2026-12-14,Em Execucao,Reitoria,Servico De Prestacao Continuada
30,"Contratacao Sob A Dispensa De Licitacao Prevista No Art. 75. Inciso Xv Da Lei N. 14.133 De 2021, Do Servico De Tecnologia Da Informacao Denominado Diploma Digital, O Qual Permite O Registro E A Emissao De Diplomas Digitais De Graduacao E Documentos Auxiliares",Rede Nacional De Ensino E Pesquisa - Rnp,03508097000136,194064.3,194064.3,2023-12-28,2026-12-28,Em Execucao,Upe,Servico De Prestacao Continuada
11,"Prestacao De Servicos De Manutencao Preventiva E Corretiva, Com Reposicao De Pecas Novas, Nos Elevadores Instalados No Bloco B E C Da Reitoria Da Universidade De Pernambuco, Pelo Periodo De 12 (Doze) Meses.",Tk Elevadores Brasil Ltda,90347840000894,22995.36,42158.16,2024-01-30,2027-01-31,Em Execucao,Reitoria,Servico De Prestacao Continuada
09,Prestacao Do Servico De Manutencao E Suporte Tecnico Do Software Pergamum Para Atender O Nucleo De Gestao De Bibliotecas E Documentacao (Nbid),Associacao Paranaense De Cultura Pergamum,76659820004653,123050.04,19561.4,2024-02-21,2029-02-21,Em Execucao,Reitoria,Servico De Prestacao Continuada
17,"Prestacao De Servico Locacao De Purificadores De Agua, Para Manutencao Preventiva E Corretiva Com Preposicao De Pecas, Para Atender A Reitoria Da Upe",Brazon Maxfilter Industria E Locacao De Purificadores De Agua Ltda,9114027000180,9720.0,10530.0,2024-03-05,2027-03-05,Em Execucao,Reitoria,Servico De Prestacao Continuada
19,"Prestacao De Servicos De Servicos De Manutencao Preventiva E Corretiva De Elevadores, Com Reposicao De Pecas, Para Atender As Necessidades Do Bloco D Da Reitoria Da Universidade De Pernambuco Como Tambem Do Predio Do Iit (Instituto De Inovacao Tecnologica Da Upe), Da Universidade De Pernambuco.",Dibasa Comercio E Servicos Ltda Epp,11836848000171,5692.8,8669.6,2024-05-23,2026-05-22,Em Execucao,Combo 3 - Reitoria - Iit,Servico De Prestacao Continuada
19,"Prestacao De Servicos De Servicos De Manutencao Preventiva E Corretiva De Elevadores, Com Reposicao De Pecas, Para Atender As Necessidades Do Bloco D Da Reitoria Da Universidade De Pernambuco Como Tambem Do Predio Do Iit (Instituto De Inovacao Tecnologica Da Upe), Da Universidade De Pernambuco.",Dibasa Comercio E Servicos Ltda Epp,11836848000171,6600.0,8669.6,2024-05-23,2026-05-22,Em Execucao,Combo 3 - Reitoria - Iit,Servico De Prestacao Continuada
21,"Utilizacao Da Atual Plataforma Do Sistema De Informacoes E Gestao Academica Sig@, No Ambito Da Upe, Abrangendo Os Servicos De Hospedagem, Administracao E Gestao Do Ambiente Operacional, Implantacao De Novos Modulos Ja Implementados, Capacitacao De Multiplicadores E Manutencao Do Sistema",Universidade Federal De Pernambuco - Ufpe,24134488000108,290000.0,290000.0,2024-07-23,2026-07-23,Em Execucao,Upe,Servico De Prestacao Continuada
22,Execucao Das Obras De Construcao Do Bloco De Salas De Aula E Administrativo Para O Eadpolo Da Upe Em Tabira,Construtora Aurelio E Servicos Ltda,19703302000154,1978910.42,821326.74,2024-07-31,2026-03-11,Em Execucao,Ead - Polo Tabira,Servicos De Engenharia - Obras - Reformas - Manutencoes
23,Contratacao De Assinatura Anual (Licenca De Uso) De Biblioteca Digital (Base De Dados) De Livros Eletronicos (Ebooks) Minha Biblioteca,Minha Biblioteca Ltda,13183749000163,344749.44,344749.44,2024-08-02,2026-08-02,Em Execucao,Upe,Servico De Prestacao Continuada
24,"Prestacao De Servicos De Digitalizacao De Documentos, Contemplando Preparacao, Organizacao, Traslado E Armazenamento De Documentos Fisicos E Digitais, Realizacao De Gestao, Incluindo A Definicao De Rotinas De Busca E Recuperacao Dos Documentos Armazenados Fisicamente, Para Atender As Necessidades Da Universidade De Pernambuco",Companhia Editora De Pernambuco Cepe,10921252000298,167219.64,118159.73,2024-08-15,2026-08-14,Em Execucao,Upe,Servico De Prestacao Continuada
